,DfU,DfV,TimeAtYield
ZS08, 5.08241E-002, 5.08241E-002, 0.00000E+000
ZS07, 7.80356E-002, 7.80356E-002, 0.00000E+000
ZS06, 1.10311E-001, 1.10311E-001, 0.00000E+000
ZS05, 1.41688E-001, 1.41688E-001, 0.00000E+000
ZS04, 1.67071E-001, 1.67071E-001, 0.00000E+000
ZS03, 5.42382E-001, 5.42382E-001, 0.00000E+000
ZS02, 7.92086E-001, 7.92086E-001, 0.00000E+000
ZS01, 0.00000E+000, 0.00000E+000, 0.00000E+000
ZS08_SumW, 1.14644E-003, 1.14644E-003, 0.00000E+000
ZS07_SumW, 3.33985E-003, 3.33985E-003, 0.00000E+000
ZS06_SumW, 5.39823E-003, 5.39823E-003, 0.00000E+000
ZS05_SumW, 7.35740E-003, 7.35740E-003, 0.00000E+000
ZS04_SumW, 1.08109E-002, 1.08109E-002, 0.00000E+000
ZS08_SumElemWithoutDamper, 5.08241E-002, 5.08241E-002, 0.00000E+000
ZS07_SumElemWithoutDamper, 7.80356E-002, 7.80356E-002, 0.00000E+000
ZS06_SumElemWithoutDamper, 1.10311E-001, 1.10311E-001, 0.00000E+000
ZS05_SumElemWithoutDamper, 1.41688E-001, 1.41688E-001, 0.00000E+000
ZS04_SumElemWithoutDamper, 1.67071E-001, 1.67071E-001, 0.00000E+000
ZS03_SumElemWithoutDamper, 5.42382E-001, 5.42382E-001, 0.00000E+000
ZS02_SumElemWithoutDamper, 7.92086E-001, 7.92086E-001, 0.00000E+000
ZS01_SumElemWithoutDamper, 0.00000E+000, 0.00000E+000, 0.00000E+000
ZS08_SumElem_Column:RC, 3.40713E-002, 3.40713E-002, 0.00000E+000
ZS07_SumElem_Column:RC, 4.79876E-002, 4.79876E-002, 0.00000E+000
ZS06_SumElem_Column:RC, 9.42505E-002, 9.42505E-002, 0.00000E+000
ZS05_SumElem_Column:RC, 1.12039E-001, 1.12039E-001, 0.00000E+000
ZS04_SumElem_Column:RC, 1.25352E-001, 1.25352E-001, 0.00000E+000
ZS03_SumElem_Column:RC, 4.21322E-001, 4.21322E-001, 0.00000E+000
ZS02_SumElem_Column:RC, 7.92086E-001, 7.92086E-001, 0.00000E+000
ZS01_SumElem_Column:RC, 0.00000E+000, 0.00000E+000, 0.00000E+000
ZS08_SumElem_Wall:BearingWall, 1.14644E-003, 1.14644E-003, 0.00000E+000
ZS07_SumElem_Wall:BearingWall, 3.33985E-003, 3.33985E-003, 0.00000E+000
ZS06_SumElem_Wall:BearingWall, 5.39823E-003, 5.39823E-003, 0.00000E+000
ZS05_SumElem_Wall:BearingWall, 7.35740E-003, 7.35740E-003, 0.00000E+000
ZS04_SumElem_Wall:BearingWall, 1.08109E-002, 1.08109E-002, 0.00000E+000
ZS08_SumForLm_0, 3.40713E-002, 3.40713E-002, 0.00000E+000
ZS07_SumForLm_0, 4.79876E-002, 4.79876E-002, 0.00000E+000
ZS06_SumForLm_0, 9.42505E-002, 9.42505E-002, 0.00000E+000
ZS05_SumForLm_0, 1.12039E-001, 1.12039E-001, 0.00000E+000
ZS04_SumForLm_0, 1.25352E-001, 1.25352E-001, 0.00000E+000
ZS03_SumForLm_0, 4.21322E-001, 4.21322E-001, 0.00000E+000
ZS02_SumForLm_0, 7.92086E-001, 7.92086E-001, 0.00000E+000
ZS01_SumForLm_0, 0.00000E+000, 0.00000E+000, 0.00000E+000
ZS08_StiffCenter, 0.00000E+000, 0.00000E+000, 0.00000E+000
ZS07_StiffCenter, 0.00000E+000, 0.00000E+000, 0.00000E+000
ZS06_StiffCenter, 0.00000E+000, 0.00000E+000, 0.00000E+000
ZS05_StiffCenter, 0.00000E+000, 0.00000E+000, 0.00000E+000
ZS04_StiffCenter, 0.00000E+000, 0.00000E+000, 0.00000E+000
ZS03_StiffCenter, 0.00000E+000, 0.00000E+000, 0.00000E+000
ZS02_StiffCenter, 0.00000E+000, 0.00000E+000, 0.00000E+000
ZS01_StiffCenter, 0.00000E+000, 0.00000E+000, 0.00000E+000
