,DisU,Time,DisV,Time,VelU,Time,VelV,Time,AccU,Time,AccV,Time,AbsAcc,Degree,Time
ZS08, 1.88065E-002, 4.57471E+001, 1.46935E-002, 4.81698E+001, 2.13770E-001, 4.58766E+001, 1.50132E-001, 4.64317E+001, 2.17230E+000, 4.57324E+001, 2.35262E+000, 4.81656E+001, 2.92183E+000,-4.91E+001, 4.81887E+001
ZS07, 1.83238E-002, 4.57471E+001, 1.37177E-002, 4.81691E+001, 2.06920E-001, 4.58766E+001, 1.39460E-001, 4.80396E+001, 2.06328E+000, 4.57394E+001, 2.15547E+000, 4.81670E+001, 2.81166E+000,-4.84E+001, 4.81824E+001
ZS06, 1.78431E-002, 4.57478E+001, 1.23780E-002, 4.81691E+001, 2.00056E-001, 4.58766E+001, 1.26701E-001, 4.80389E+001, 1.97546E+000, 4.57471E+001, 2.08283E+000, 4.81236E+001, 2.65343E+000,-4.45E+001, 4.81803E+001
ZS05, 1.73944E-002, 4.57478E+001, 1.06431E-002, 4.81698E+001, 1.93502E-001, 4.58766E+001, 1.09160E-001, 4.80382E+001, 1.93079E+000, 4.81824E+001, 1.86816E+000, 4.81278E+001, 2.46872E+000,-3.93E+001, 4.81761E+001
ZS04, 1.68859E-002, 4.57478E+001, 8.57053E-003, 4.81740E+001, 1.86183E-001, 4.58773E+001, 8.71696E-002, 4.80431E+001, 1.93682E+000, 4.81803E+001, 1.55190E+000, 4.81411E+001, 2.28059E+000,-3.27E+001, 4.81740E+001
ZS03, 1.35725E-002, 4.57492E+001, 6.41757E-003, 4.85625E+001, 1.47820E-001, 4.58773E+001, 6.17710E-002, 4.64555E+001, 1.59962E+000, 4.81628E+001, 1.26429E+000, 4.80893E+001, 1.97075E+000,-3.65E+001, 4.81593E+001
ZS02, 3.06144E-005, 4.57443E+001, 1.77235E-005, 4.81453E+001, 3.52722E-004, 4.58724E+001, 2.48864E-004, 4.80214E+001, 1.16676E+000, 4.80291E+001, 1.17992E+000, 4.84330E+001, 1.42871E+000,-3.54E+001, 4.80228E+001
ZS01, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 0.00000E+000, 1.16241E+000, 4.80284E+001, 1.17705E+000, 4.84323E+001, 1.42498E+000,-3.56E+001, 4.80221E+001
ZS08_SumW, 1.88065E-002, 4.57471E+001, 1.46935E-002, 4.81698E+001, 2.13770E-001, 4.58766E+001, 1.50132E-001, 4.64317E+001, 2.17230E+000, 4.57324E+001, 2.35262E+000, 4.81656E+001, 2.92183E+000,-4.91E+001, 4.81887E+001
ZS07_SumW, 1.83238E-002, 4.57471E+001, 1.37177E-002, 4.81691E+001, 2.06920E-001, 4.58766E+001, 1.39460E-001, 4.80396E+001, 2.06328E+000, 4.57394E+001, 2.15547E+000, 4.81670E+001, 2.81166E+000,-4.84E+001, 4.81824E+001
