,Story,MaxForceU,MaxForceV
ZS08,ZS08_SumElemWithoutDamper, 3.82211E+004, 4.11630E+004
ZS07,ZS07_SumElemWithoutDamper, 8.03766E+004, 8.70419E+004
ZS06,ZS06_SumElemWithoutDamper, 1.20176E+005, 1.29036E+005
ZS05,ZS05_SumElemWithoutDamper, 1.58300E+005, 1.66329E+005
ZS04,ZS04_SumElemWithoutDamper, 1.94713E+005, 1.98991E+005
ZS03,ZS03_SumElemWithoutDamper, 2.27385E+005, 2.26119E+005
ZS02,ZS02_SumElemWithoutDamper, 2.52398E+005, 2.49535E+005
ZS01,ZS01_SumElemWithoutDamper, 2.52021E+005, 2.55130E+005
ZS08_SumElemWithoutDamper,ZS08, 3.82211E+004, 4.11630E+004
ZS07_SumElemWithoutDamper,ZS07, 8.03766E+004, 8.70419E+004
ZS06_SumElemWithoutDamper,ZS06, 1.20176E+005, 1.29036E+005
ZS05_SumElemWithoutDamper,ZS05, 1.58300E+005, 1.66329E+005
ZS04_SumElemWithoutDamper,ZS04, 1.94713E+005, 1.98991E+005
ZS03_SumElemWithoutDamper,ZS03, 2.27385E+005, 2.26119E+005
ZS02_SumElemWithoutDamper,ZS02, 2.52398E+005, 2.49535E+005
ZS01_SumElemWithoutDamper,ZS01, 2.52021E+005, 2.55130E+005
