,DriftVelocityU,Time,DriftVelocityV,Time
ZS08, 1.33790E-001, 1.96000E+001, 4.88696E-002, 1.98149E+001
ZS07, 1.33677E-001, 1.95993E+001, 6.09436E-002, 1.99682E+001
ZS06, 1.30291E-001, 1.95965E+001, 7.10912E-002, 1.99731E+001
ZS05, 1.26551E-001, 1.95930E+001, 7.53356E-002, 1.99696E+001
ZS04, 1.21463E-001, 1.95909E+001, 7.88455E-002, 1.99493E+001
ZS03, 1.75254E-001, 1.96168E+001, 8.55106E-002, 1.95559E+001
ZS02, 7.18700E-001, 1.94894E+001, 2.22440E-001, 2.00599E+001
ZS01, 8.91130E-004, 1.94411E+001, 5.83642E-004, 1.95496E+001
ZS08_SumW, 1.33790E-001, 1.96000E+001, 4.88696E-002, 1.98149E+001
ZS07_SumW, 1.33677E-001, 1.95993E+001, 6.09436E-002, 1.99682E+001
ZS06_SumW, 1.30291E-001, 1.95965E+001, 7.10912E-002, 1.99731E+001
ZS05_SumW, 1.26551E-001, 1.95930E+001, 7.53356E-002, 1.99696E+001
ZS04_SumW, 1.21463E-001, 1.95909E+001, 7.88455E-002, 1.99493E+001
ZS08_SumElemWithoutDamper, 1.33790E-001, 1.96000E+001, 4.88696E-002, 1.98149E+001
ZS07_SumElemWithoutDamper, 1.33677E-001, 1.95993E+001, 6.09436E-002, 1.99682E+001
ZS06_SumElemWithoutDamper, 1.30291E-001, 1.95965E+001, 7.10912E-002, 1.99731E+001
ZS05_SumElemWithoutDamper, 1.26551E-001, 1.95930E+001, 7.53356E-002, 1.99696E+001
ZS04_SumElemWithoutDamper, 1.21463E-001, 1.95909E+001, 7.88455E-002, 1.99493E+001
ZS03_SumElemWithoutDamper, 1.75254E-001, 1.96168E+001, 8.55106E-002, 1.95559E+001
ZS02_SumElemWithoutDamper, 7.18700E-001, 1.94894E+001, 2.22440E-001, 2.00599E+001
ZS01_SumElemWithoutDamper, 8.91130E-004, 1.94411E+001, 5.83642E-004, 1.95496E+001
ZS08_SumElem_Column:RC, 1.33790E-001, 1.96000E+001, 4.88696E-002, 1.98149E+001
ZS07_SumElem_Column:RC, 1.33677E-001, 1.95993E+001, 6.09436E-002, 1.99682E+001
ZS06_SumElem_Column:RC, 1.30291E-001, 1.95965E+001, 7.10912E-002, 1.99731E+001
ZS05_SumElem_Column:RC, 1.26551E-001, 1.95930E+001, 7.53356E-002, 1.99696E+001
ZS04_SumElem_Column:RC, 1.21463E-001, 1.95909E+001, 7.88455E-002, 1.99493E+001
ZS03_SumElem_Column:RC, 1.75254E-001, 1.96168E+001, 8.55106E-002, 1.95559E+001
ZS02_SumElem_Column:RC, 7.18700E-001, 1.94894E+001, 2.22440E-001, 2.00599E+001
ZS01_SumElem_Column:RC, 8.91130E-004, 1.94411E+001, 5.83642E-004, 1.95496E+001
ZS08_SumElem_Wall:BearingWall, 1.33790E-001, 1.96000E+001, 4.88696E-002, 1.98149E+001
ZS07_SumElem_Wall:BearingWall, 1.33677E-001, 1.95993E+001, 6.09436E-002, 1.99682E+001
ZS06_SumElem_Wall:BearingWall, 1.30291E-001, 1.95965E+001, 7.10912E-002, 1.99731E+001
ZS05_SumElem_Wall:BearingWall, 1.26551E-001, 1.95930E+001, 7.53356E-002, 1.99696E+001
ZS04_SumElem_Wall:BearingWall, 1.21463E-001, 1.95909E+001, 7.88455E-002, 1.99493E+001
ZS08_SumForLm_0, 1.33790E-001, 1.96000E+001, 4.88696E-002, 1.98149E+001
ZS07_SumForLm_0, 1.33677E-001, 1.95993E+001, 6.09436E-002, 1.99682E+001
ZS06_SumForLm_0, 1.30291E-001, 1.95965E+001, 7.10912E-002, 1.99731E+001
ZS05_SumForLm_0, 1.26551E-001, 1.95930E+001, 7.53356E-002, 1.99696E+001
ZS04_SumForLm_0, 1.21463E-001, 1.95909E+001, 7.88455E-002, 1.99493E+001
ZS03_SumForLm_0, 1.75254E-001, 1.96168E+001, 8.55106E-002, 1.95559E+001
ZS02_SumForLm_0, 7.18700E-001, 1.94894E+001, 2.22440E-001, 2.00599E+001
ZS01_SumForLm_0, 8.91130E-004, 1.94411E+001, 5.83642E-004, 1.95496E+001
ZS08_StiffCenter, 1.33776E-001, 1.96000E+001, 4.82130E-002, 1.98142E+001
ZS07_StiffCenter, 1.33677E-001, 1.95993E+001, 6.28663E-002, 1.99682E+001
ZS06_StiffCenter, 1.30290E-001, 1.95965E+001, 7.32717E-002, 1.99731E+001
ZS05_StiffCenter, 1.26515E-001, 1.95930E+001, 7.75005E-002, 1.99703E+001
ZS04_StiffCenter, 1.21509E-001, 1.95909E+001, 8.06229E-002, 1.99507E+001
ZS03_StiffCenter, 1.75241E-001, 1.96168E+001, 8.43587E-002, 1.99325E+001
ZS02_StiffCenter, 7.18702E-001, 1.94894E+001, 2.77775E-001, 1.96819E+001
ZS01_StiffCenter, 8.91132E-004, 1.94411E+001, 4.77237E-004, 1.95475E+001
