,ShearCoefficientU,ShearCoefficientV
ZS08, 1.24391E+000, 7.70474E-001
ZS07, 1.06251E+000, 6.21516E-001
ZS06, 8.86793E-001, 5.15474E-001
ZS05, 7.13056E-001, 5.00595E-001
ZS04, 5.42569E-001, 4.83883E-001
ZS03, 5.10746E-001, 4.50030E-001
ZS02, 5.01935E-001, 4.00721E-001
ZS01, 4.89172E-001, 3.88076E-001
ZS08_SumW, 0.00000E+000, 0.00000E+000
ZS07_SumW, 0.00000E+000, 0.00000E+000
ZS06_SumW, 0.00000E+000, 0.00000E+000
ZS05_SumW, 0.00000E+000, 0.00000E+000
ZS04_SumW, 0.00000E+000, 0.00000E+000
ZS08_SumElemWithoutDamper, 0.00000E+000, 0.00000E+000
ZS07_SumElemWithoutDamper, 0.00000E+000, 0.00000E+000
ZS06_SumElemWithoutDamper, 0.00000E+000, 0.00000E+000
ZS05_SumElemWithoutDamper, 0.00000E+000, 0.00000E+000
ZS04_SumElemWithoutDamper, 0.00000E+000, 0.00000E+000
ZS03_SumElemWithoutDamper, 0.00000E+000, 0.00000E+000
ZS02_SumElemWithoutDamper, 0.00000E+000, 0.00000E+000
ZS01_SumElemWithoutDamper, 0.00000E+000, 0.00000E+000
ZS08_SumElem_Column:RC, 0.00000E+000, 0.00000E+000
ZS07_SumElem_Column:RC, 0.00000E+000, 0.00000E+000
ZS06_SumElem_Column:RC, 0.00000E+000, 0.00000E+000
ZS05_SumElem_Column:RC, 0.00000E+000, 0.00000E+000
ZS04_SumElem_Column:RC, 0.00000E+000, 0.00000E+000
ZS03_SumElem_Column:RC, 0.00000E+000, 0.00000E+000
ZS02_SumElem_Column:RC, 0.00000E+000, 0.00000E+000
ZS01_SumElem_Column:RC, 0.00000E+000, 0.00000E+000
ZS08_SumElem_Wall:BearingWall, 0.00000E+000, 0.00000E+000
ZS07_SumElem_Wall:BearingWall, 0.00000E+000, 0.00000E+000
ZS06_SumElem_Wall:BearingWall, 0.00000E+000, 0.00000E+000
ZS05_SumElem_Wall:BearingWall, 0.00000E+000, 0.00000E+000
ZS04_SumElem_Wall:BearingWall, 0.00000E+000, 0.00000E+000
ZS08_SumForLm_0, 0.00000E+000, 0.00000E+000
ZS07_SumForLm_0, 0.00000E+000, 0.00000E+000
ZS06_SumForLm_0, 0.00000E+000, 0.00000E+000
ZS05_SumForLm_0, 0.00000E+000, 0.00000E+000
ZS04_SumForLm_0, 0.00000E+000, 0.00000E+000
ZS03_SumForLm_0, 0.00000E+000, 0.00000E+000
ZS02_SumForLm_0, 0.00000E+000, 0.00000E+000
ZS01_SumForLm_0, 0.00000E+000, 0.00000E+000
ZS08_StiffCenter, 0.00000E+000, 0.00000E+000
ZS07_StiffCenter, 0.00000E+000, 0.00000E+000
ZS06_StiffCenter, 0.00000E+000, 0.00000E+000
ZS05_StiffCenter, 0.00000E+000, 0.00000E+000
ZS04_StiffCenter, 0.00000E+000, 0.00000E+000
ZS03_StiffCenter, 0.00000E+000, 0.00000E+000
ZS02_StiffCenter, 0.00000E+000, 0.00000E+000
ZS01_StiffCenter, 0.00000E+000, 0.00000E+000
