,DisU,Time,DisV,Time,VelU,Time,VelV,Time,AccU,Time,AccV,Time,AbsAcc,Degree,Time
ZS08, 4.38044E-001, 1.95510E+001, 1.38476E-001, 1.95125E+001, 1.59584E+000, 1.92171E+001, 5.62583E-001, 1.93725E+001, 4.22768E+000, 1.92962E+001, 5.86891E+000, 1.94565E+001, 6.39564E+000,1.13E+002, 1.94558E+001
ZS07, 4.27142E-001, 1.95496E+001, 1.34616E-001, 1.95118E+001, 1.54128E+000, 1.92066E+001, 5.47415E-001, 1.93851E+001, 3.66192E+000, 1.88664E+001, 3.93145E+000, 1.94432E+001, 4.53011E+000,1.38E+002, 1.95503E+001
ZS06, 4.16251E-001, 1.95482E+001, 1.30333E-001, 1.95118E+001, 1.50265E+000, 1.91849E+001, 5.32266E-001, 1.93879E+001, 3.34599E+000, 1.88804E+001, 3.82157E+000, 1.94306E+001, 4.72270E+000,1.26E+002, 1.94257E+001
ZS05, 4.05408E-001, 1.95468E+001, 1.25302E-001, 1.95118E+001, 1.47046E+000, 1.91800E+001, 5.07057E-001, 1.93858E+001, 3.61859E+000, 1.92066E+001, 4.09743E+000, 1.94173E+001, 5.12662E+000,1.28E+002, 1.94236E+001
ZS04, 3.94662E-001, 1.95447E+001, 1.19355E-001, 1.95139E+001, 1.43841E+000, 1.91786E+001, 4.84504E-001, 1.93669E+001, 4.44625E+000, 1.92045E+001, 3.58232E+000, 1.94103E+001, 4.80076E+000,1.35E+002, 1.94208E+001
ZS03, 3.83869E-001, 1.95419E+001, 1.12914E-001, 1.95174E+001, 1.40387E+000, 1.91772E+001, 4.72537E-001, 1.93578E+001, 5.04034E+000, 1.91996E+001, 4.90726E+000, 1.93858E+001, 5.28633E+000,1.12E+002, 1.93858E+001
ZS02, 3.67486E-001, 1.95377E+001, 1.05462E-001, 1.95244E+001, 1.28065E+000, 1.92108E+001, 4.53747E-001, 1.93487E+001, 4.56699E+000, 1.94516E+001, 5.45368E+000, 1.93781E+001, 5.75089E+000,1.11E+002, 1.93795E+001
ZS01, 4.21088E-005, 1.92157E+001, 1.69512E-005, 1.94768E+001, 4.79263E-004, 1.91954E+001, 2.91418E-004, 1.92290E+001, 6.99990E+000, 1.90575E+001, 3.51421E+000, 1.93130E+001, 7.26579E+000,1.64E+002, 1.90575E+001
ZS08_SumW, 4.38044E-001, 1.95510E+001, 1.38476E-001, 1.95125E+001, 1.59584E+000, 1.92171E+001, 5.62583E-001, 1.93725E+001, 4.22768E+000, 1.92962E+001, 5.86891E+000, 1.94565E+001, 6.39564E+000,1.13E+002, 1.94558E+001
ZS07_SumW, 4.27142E-001, 1.95496E+001, 1.34616E-001, 1.95118E+001, 1.54128E+000, 1.92066E+001, 5.47415E-001, 1.93851E+001, 3.66192E+000, 1.88664E+001, 3.93145E+000, 1.94432E+001, 4.53011E+000,1.38E+002, 1.95503E+001
ZS06_SumW, 4.16251E-001, 1.95482E+001, 1.30333E-001, 1.95118E+001, 1.50265E+000, 1.91849E+001, 5.32266E-001, 1.93879E+001, 3.34599E+000, 1.88804E+001, 3.82157E+000, 1.94306E+001, 4.72270E+000,1.26E+002, 1.94257E+001
ZS05_SumW, 4.05408E-001, 1.95468E+001, 1.25302E-001, 1.95118E+001, 1.47046E+000, 1.91800E+001, 5.07057E-001, 1.93858E+001, 3.61859E+000, 1.92066E+001, 4.09743E+000, 1.94173E+001, 5.12662E+000,1.28E+002, 1.94236E+001
